"indic_ur,cities\time","2019 ","2018 ","2017 ","2016 ","2015 ","2014 ","2013 ","2012 ","2011 ","2010 ","2009 ","2008 ","2007 ","2006 ","2005 ","2004 ","2003 ","2002 ","2001 ","2000 ","1999 ","1998 ","1997 ","1996 ","1995 ","1994 ","1993 ","1992 ","1991 ","1990 "
"EN1005V,PT",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",623.60 e,": ",": ",": ",": ",": ",": ","1019.20 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1005V,SE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","634.00 ",": ",": ",": ",": ","634.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN1005V,SI",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1211.00 ","1337.00 ","1326.00 ","1303.00 ","1144.00 ",": ",": ",": ",": ",": ",": ",": "
"EN1005V,SK",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","787.50 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2002V,BE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","30.00 ","41.00 ","24.00 ","57.00 ","31.00 ","47.00 ","43.00 ","55.00 ","52.00 ","31.00 ","37.00 ","32.00 ",": "
"EN2002V,CY",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","103.00 ","44.00 ","34.00 ","19.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2002V,ES",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","169.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2002V,IE001L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1.00 ","0.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2002V,IE002L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","2.00 ","0.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2002V,IE003L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","4.00 ","0.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2002V,IE004L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","5.00 ","0.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2002V,IE005L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1.00 ","0.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2002V,SK",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","25.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2005V,BE",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","270.00 ","269.00 ","266.00 ","269.00 ","282.00 ","278.00 ","287.00 ",": ",": ",": ",": ",": ",": "
"EN2005V,CY",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","27.00 ","24.00 ","24.00 ","30.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2005V,IE001L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","9.00 ","6.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2005V,IE002L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","3.00 ","3.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2005V,IE003L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","19.00 ","0.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2005V,IE004L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","0.00 ","1.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2005V,IE005L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","8.00 ","6.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2005V,SK",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","49.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2027V,HR001L2",": ",": ",": ","26.00 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG001L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG002L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG003L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG004L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG005L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG006L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG007L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG008L2",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG009L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG010L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG011L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG013L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG014L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG015L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG016L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG017L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,BG018L1",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH",": ",": ",": ",": ",": ",": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH001L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH002L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH002T2",": ",": ",": ",": ",": ",": ",: b,: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH003L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH003T2",": ",": ",": ",": ",": ",": ",: b,: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH004L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH005L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH006L1",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH007L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH008L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH009L2",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CH010L1",": ",": ",": ",": ",": ",": ",": ",: b,: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CY",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CY001L2",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",": ",": "
"EN2029I,CZ",": ",": ",": ",": ",: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ001L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ002L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ003L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ004L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ005L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ006L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ007L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ008L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ009L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ010L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ011L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ013L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ014L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ016L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,CZ018L2",": ",": ",": ",: b,: d,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,DE021L1",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EE",": ",": ",": ",: b,": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,": ",: e,: e,: e,: e,: e,: e,: e,: e,: e,": "
"EN2029I,EE001L1",": ",": ",": ",: b,": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,": ",: e,: e,: e,: e,": ",": ",": ",": ",: e,": "
"EN2029I,EE002L1",": ",: b,": ",: b,": ",": ",": ",: b,": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,": ",: e,: e,: e,: e,": ",": ",": ",": ",: e,": "
"EN2029I,EL",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL001L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL002L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL003L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL004L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL005L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL006L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL007L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL008L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,EL009L1",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,: e,: e,: e,: e,: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,ES",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,ES001L3",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,ES002L2",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"EN2029I,ES003L3",": ",": ",": ",": ",": ",": ",": ",": ",: e,": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
